#融资时间,融资公司,公司的种类,融资的轮次,公司地址,融资金额, 投资方（以空格分割),链接
2016.7.1,Jessica杰西卡,电子商务,Pre-A轮,北京,数千万人民币,华耀资本,https://www.itjuzi.com/investevents/18113
2016.7.1,回家吃饭APP,本地生活,C轮,北京,未透露,投资方未透露,https://www.itjuzi.com/investevents/18112
2016.7.1,最惠保,金融,战略投资,上海,8600万人民币,亚夏汽车,https://www.itjuzi.com/investevents/18111
2016.6.30,守财奴,金融,A轮,海南,数千万人民币,京北投资-京北天使,https://www.itjuzi.com/investevents/18207
2016.6.30,房脉,房产服务,天使轮,陕西,250万人民币,天使投资人李直,https://www.itjuzi.com/investevents/18102
2016.6.30,蓝游文化,游戏,A+轮,上海,3000万人民币,普思资本,https://www.itjuzi.com/investevents/18101
2016.6.30,NextEV蔚来汽车,汽车交通,C轮,上海,1亿美元,Temasek淡马锡 TPG Growth新桥资本 厚朴基金 联想集团,https://www.itjuzi.com/investevents/18098
2016.6.30,荷特宝,本地生活,Pre-A轮,上海,数千万人民币,安持资本 企源科技 中国智能,https://www.itjuzi.com/investevents/18086
2016.6.30,木兰仓,电子商务,天使轮,北京,数百万人民币,中路资本,https://www.itjuzi.com/investevents/18085
2016.6.30,麦麦养老,医疗健康,A轮,四川,3000万人民币,招商局,https://www.itjuzi.com/investevents/18084
2016.6.30,JPush极光推送,企业服务,C轮,广东,数千万美元,投资方未透露,https://www.itjuzi.com/investevents/18080
2016.6.30,VRUN班跑科技,体育运动,天使轮,上海,500万人民币,齐享资本,https://www.itjuzi.com/investevents/9400
2016.6.29,妞诺科技,医疗健康,Pre-A轮,浙江,1000万人民币,上海丰豪,https://www.itjuzi.com/investevents/18077
2016.6.29,蓝鲸传媒,文化娱乐,B轮,上海,1亿人民币,天风证券 小米科技 猎豹移动,https://www.itjuzi.com/investevents/18075
2016.6.29,创利投,金融,A轮,北京,3000万人民币,投资方未透露,https://www.itjuzi.com/investevents/18074
2016.6.29,我爱捡漏,金融,天使轮,山东,500万人民币,投资方未透露,https://www.itjuzi.com/investevents/18073
2016.6.29,骚爆了APP,社交网络,天使轮,湖北,500万人民币,投资方未透露,https://www.itjuzi.com/investevents/18072
2016.6.29,可溯贷,金融,A轮,浙江,1.5亿人民币,丛蓉投资,https://www.itjuzi.com/investevents/18070
2016.6.29,阳光印网,电子商务,C轮,北京,3.5亿人民币,复星集团 软银中国,https://www.itjuzi.com/investevents/18069
2016.6.29,速腾聚创Robosense,硬件,A+轮,广东,数千万人民币,复星昆仲 普禾资产 东方富海,https://www.itjuzi.com/investevents/15277
2016.6.28,贴心小护,医疗健康,天使轮,广东,500万人民币,启赋资本,https://www.itjuzi.com/investevents/18061
2016.6.28,有融网,金融,A+轮,浙江,5000万人民币,鼎立控股集团,https://www.itjuzi.com/investevents/18055
2016.6.28,阿侠谷,企业服务,B轮,上海,未透露,投资方未透露,https://www.itjuzi.com/investevents/18048
2016.6.28,GrowingIO,企业服务,A轮,北京,2000万美元,经纬中国 NEA恩颐投资 Greylock Partners,https://www.itjuzi.com/investevents/18046
2016.6.28,汇通达,电子商务,不明确,江苏,3亿人民币,招商银行,https://www.itjuzi.com/investevents/18045
2016.6.28,第一弹,文化娱乐,A轮,上海,1500万人民币,北极光创投,https://www.itjuzi.com/investevents/18044
2016.6.28,Y先生,电子商务,种子轮,福建,42万人民币,投资方未透露,https://www.itjuzi.com/investevents/18043
2016.6.28,自由酷鲸,文化娱乐,战略投资,北京,4000万人民币,华策影视,https://www.itjuzi.com/investevents/18041
2016.6.28,猎聘网,企业服务,D轮,北京,亿元及以上美元,中国移动(中移创新产业基金) 经纬中国 千合资本 信达汉石 天弘创新 华泰瑞麟(华泰证券) 天时开元 钜派投资,https://www.itjuzi.com/investevents/18026
2016.6.28,the L热拉,社交网络,A轮,上海,数千万人民币,信天创投 铂泉资本,https://www.itjuzi.com/investevents/6830
2016.6.27,埃肯咨询,体育运动,A轮,上海,3136万人民币,欧迅体育,https://www.itjuzi.com/investevents/18059
2016.6.27,金准生物,医疗健康,A轮,广东,数千万人民币,东方融润,https://www.itjuzi.com/investevents/18025
2016.6.27,时光岛旅行网,旅游,A轮,广东,数千万人民币,中国平安(平安创新投),https://www.itjuzi.com/investevents/18023
2016.6.27,大麦助手,游戏,天使轮,广东,数百万人民币,中美创投,https://www.itjuzi.com/investevents/18022
2016.6.27,美信金融,金融,Pre-A轮,北京,数千万人民币,梅花天使创投 原子创投 陶石资本 贝塔斯曼亚洲投资基金,https://www.itjuzi.com/investevents/18014
2016.6.27,南七道新媒《胡说七道》,文化娱乐,天使轮,广东,500万人民币,易一天使,https://www.itjuzi.com/investevents/18012
2016.6.27,ASO114,企业服务,种子轮,福建,200万人民币,投资方未透露,https://www.itjuzi.com/investevents/18011
2016.6.27,炼了么,医疗健康,Pre-A轮,北京,1500万人民币,投资方未透露,https://www.itjuzi.com/investevents/18008
2016.6.27,月亮盒子,文化娱乐,天使轮,北京,数百万人民币,投资方未透露,https://www.itjuzi.com/investevents/18005
2016.6.27,在行(分答),教育,A轮,北京,2500万美元,元璟资本 红杉资本中国 普思资本 罗辑思维,https://www.itjuzi.com/investevents/17612
2016.6.26,刘备修车网,汽车交通,A轮,广东,6000万人民币,金沙江创投,https://www.itjuzi.com/investevents/18016
2016.6.25,申请方留学ApplySquare,教育,A轮,北京,数千万人民币,ATA教育 好未来(学而思) 明势资本 海兆资本 启迪之星(启迪孵化器孵化投资基金),https://www.itjuzi.com/investevents/17993
2016.6.24,盟销,广告营销,天使轮,广东,100万人民币,基石资本,https://www.itjuzi.com/investevents/18018
2016.6.24,芒果互娱,游戏,A轮,上海,8200万人民币,顺荣三七互娱 中南文化,https://www.itjuzi.com/investevents/17987
2016.6.24,咖啡码头,本地生活,天使轮,上海,1500万人民币,六町资本,https://www.itjuzi.com/investevents/17984
2016.6.24,轻走旅行,旅游,A轮,上海,2500万人民币,印尼力宝集团,https://www.itjuzi.com/investevents/17983
2016.6.24,汉景,电子商务,天使轮,上海,400万人民币,投资方未透露,https://www.itjuzi.com/investevents/17982
2016.6.24,Palmap图聚,工具软件,新三板,上海,未透露,投资方未透露,https://www.itjuzi.com/investevents/17981
2016.6.23,和梓咨询,企业服务,A轮,浙江,4000万人民币,投资方未透露,https://www.itjuzi.com/investevents/17989
2016.6.23,iDaily每日科技,文化娱乐,新三板,上海,未透露,投资方未透露,https://www.itjuzi.com/investevents/17969
2016.6.23,有感科技InvisPower,硬件,A轮,北京,1000万人民币,水木清华校友基金,https://www.itjuzi.com/investevents/17967
2016.6.23,塑商汇,电子商务,Pre-A轮,浙江,数千万人民币,中科创 宁波天使投资引导基金 化塑汇 海德资本,https://www.itjuzi.com/investevents/17964
2016.6.23,初心客厅,医疗健康,天使轮,北京,数百万人民币,引力创投 粉粉日记,https://www.itjuzi.com/investevents/17962
2016.6.23,芒果TV,文化娱乐,B轮,湖南,15亿人民币,投资方未透露,https://www.itjuzi.com/investevents/17960
2016.6.23,E修哥,房产服务,A轮,上海,亿元及以上人民币,投资方未透露,https://www.itjuzi.com/investevents/17959
2016.6.23,豫便利,电子商务,天使轮,河南,数千万人民币,投资方未透露,https://www.itjuzi.com/investevents/17958
2016.6.23,Soffice赛飞软件,企业服务,A+轮,广东,3000万人民币,比克研究院 汇聚贰号,https://www.itjuzi.com/investevents/17957
2016.6.23,次元仓,文化娱乐,A+轮,广东,3300万人民币,松禾资本 中美创投 追梦者,https://www.itjuzi.com/investevents/17956
2016.6.23,小宝招商,企业服务,A轮,浙江,数千万人民币,复星昆仲,https://www.itjuzi.com/investevents/17953
2016.6.23,优舍,房产服务,天使轮,北京,2000万人民币,弘俊财富,https://www.itjuzi.com/investevents/17952
2016.6.22,艾米机器人,硬件,Pre-A轮,浙江,未透露,永炜集团 永强集团,https://www.itjuzi.com/investevents/18106
2016.6.22,宅小主,物流,Pre-A轮,内蒙古,1000万人民币,北京兼程信息技术有限公司,https://www.itjuzi.com/investevents/17946
2016.6.22,果酱音乐,文化娱乐,Pre-A轮,江苏,数千万人民币,银杏谷资本 齐一资本,https://www.itjuzi.com/investevents/17945
2016.6.22,前海小企贷(资本在线),金融,B轮,广东,2亿人民币,投资方未透露,https://www.itjuzi.com/investevents/17940
2016.6.22,优集品,电子商务,B+轮,北京,2000万美元,罗莱家纺 钟鼎创投 DCM中国,https://www.itjuzi.com/investevents/17934
2016.6.22,italki爱拓奇,教育,A轮,香港,300万美元,沪江,https://www.itjuzi.com/investevents/17933
2016.6.22,美甲帮,本地生活,B轮,广东,数千万美元,美团(新美大) 大众点评网 点亮资本 经纬中国,https://www.itjuzi.com/investevents/17930
2016.6.22,途家网,旅游,E轮,北京,未透露,58同城,https://www.itjuzi.com/investevents/17926
2016.6.22,安华金和,企业服务,B轮,北京,5000万人民币,君联资本,https://www.itjuzi.com/investevents/17921
2016.6.21,ZMENG众盟科技,广告营销,A+轮,北京,1.1亿人民币,复星集团 昆吾九鼎投资,https://www.itjuzi.com/investevents/17936
2016.6.21,太美医疗,医疗健康,B轮,浙江,数千万人民币,北极光创投,https://www.itjuzi.com/investevents/17928
2016.6.21,全修文化,文化娱乐,天使轮,浙江,数千万人民币,PreAngel 微漫画 掌纵一创基金,https://www.itjuzi.com/investevents/17915
2016.6.21,蛋解创业,文化娱乐,天使轮,北京,300万人民币,华盖资本 华澍资本 众造未来,https://www.itjuzi.com/investevents/17914
2016.6.21,考拉FM,文化娱乐,A轮,北京,1.7亿人民币,君联资本,https://www.itjuzi.com/investevents/17912
2016.6.21,刷刷手环,硬件,B轮,北京,2000万人民币,投资方未透露,https://www.itjuzi.com/investevents/17909
2016.6.21,国科恒泰,医疗健康,B轮,北京,亿元及以上人民币,国科嘉和 君联资本 北极光创投 通和资本 山蓝资本 百年人寿,https://www.itjuzi.com/investevents/17907
2016.6.21,悠泊,汽车交通,A轮,北京,数千万人民币,广州龙腾出行网络科技股份有限公司,https://www.itjuzi.com/investevents/17904
2016.6.21,freebao-微鸟,社交网络,Pre-A轮,浙江,1000万人民币,投资方未透露,https://www.itjuzi.com/investevents/17903
2016.6.21,优客工场URWork,房产服务,Pre-B轮,北京,3亿人民币,银泰置地 中融信托,https://www.itjuzi.com/investevents/17901
2016.6.20,滋农春天,电子商务,种子轮,北京,300万人民币,天府创投,https://www.itjuzi.com/investevents/17899
2016.6.20,ifensi粉丝网,文化娱乐,A轮,北京,5000万人民币,上海掌门科技 WiFi万能钥匙,https://www.itjuzi.com/investevents/17898
2016.6.20,思微SimplyWork,企业服务,A轮,广东,3000万人民币,IDG资本 万科集团 华住酒店集团,https://www.itjuzi.com/investevents/17897
2016.6.20,KeeKo,硬件,A轮,福建,数千万人民币,赛富基金,https://www.itjuzi.com/investevents/17896
2016.6.20,易订货,企业服务,B+轮,广东,300万美元,创新工场,https://www.itjuzi.com/investevents/17893
2016.6.20,信析宝,工具软件,A轮,广东,7300万人民币,IDG资本 唯品会,https://www.itjuzi.com/investevents/17890
2016.6.20,包租婆,房产服务,Pre-A轮,北京,2000万人民币,投资方未透露,https://www.itjuzi.com/investevents/17889
2016.6.20,16WiFi一路热点,本地生活,B轮,北京,3亿人民币,辉煌科技 赛盛投资 首佳投资,https://www.itjuzi.com/investevents/17885
2016.6.20,三角兽科技,企业服务,天使轮,北京,数千万人民币,洪泰基金 天善资本,https://www.itjuzi.com/investevents/17884
2016.6.18,沙师弟(运力汇),物流,Pre-A轮,广东,800万人民币,前海梦创,https://www.itjuzi.com/investevents/17881
2016.6.18,杏香园,医疗健康,A轮,浙江,1亿人民币,杭州锦江集团,https://www.itjuzi.com/investevents/17874
2016.6.18,博望志,文化娱乐,天使轮,北京,200万人民币,BWVC泽厚资本,https://www.itjuzi.com/investevents/17872
2016.6.17,仔皇煲,本地生活,Pre-A轮,北京,600万人民币,星瀚资本 真格基金 老鹰基金EaglesFund,https://www.itjuzi.com/investevents/17938
2016.6.17,酷派(宇龙酷派),硬件,IPO上市后,广东,10.47亿港元,乐视网,https://www.itjuzi.com/investevents/17869
2016.6.17,君和堂,医疗健康,B轮,江苏,5000万人民币,弘晖资本 启明创投,https://www.itjuzi.com/investevents/17862
2016.6.17,欣欣旅游,旅游,B轮,福建,1亿人民币,投资方未透露,https://www.itjuzi.com/investevents/17861
2016.6.17,招蜜,企业服务,天使轮,北京,数千万人民币,投资方未透露,https://www.itjuzi.com/investevents/17856
2016.6.17,财鲸,金融,Pre-A轮,北京,数百万美元,创新工场,https://www.itjuzi.com/investevents/17854
2016.6.16,滴滴出行-滴滴快的,汽车交通,F轮-上市前,北京,45亿美元,中国人寿 Apple苹果 蚂蚁金服(阿里巴巴) 腾讯 招商银行 软银中国,https://www.itjuzi.com/investevents/17868
2016.6.16,洒哇地咔,硬件,A轮,浙江,数千万人民币,乾祥海泉投资(胡海泉),https://www.itjuzi.com/investevents/17850
2016.6.16,DeepCare,医疗健康,天使轮,北京,600万人民币,FreesFund峰瑞资本,https://www.itjuzi.com/investevents/17849
2016.6.16,驰誉旅游,旅游,A轮,上海,3亿人民币,翌银基金 济海投资公司,https://www.itjuzi.com/investevents/17848
2016.6.16,网红网,文化娱乐,天使轮,广东,数百万人民币,口袋兼职,https://www.itjuzi.com/investevents/17847
2016.6.16,投食儿,电子商务,种子轮,北京,数百万人民币,投资方未透露,https://www.itjuzi.com/investevents/17846
2016.6.16,猎芯网,电子商务,A轮,广东,500万美元,微光创投(吴宵光) 经纬中国,https://www.itjuzi.com/investevents/17845
2016.6.16,银票网,金融,A+轮,上海,1.2亿人民币,华宇经济,https://www.itjuzi.com/investevents/17843
2016.6.16,Kaistart开始众筹,金融,B轮,浙江,1000万人民币,昆仑万维 青骢资本 元璟资本 经纬中国 盈动资本 道森资本 引爆点资本,https://www.itjuzi.com/investevents/17842
2016.6.16,智慧药箱,医疗健康,天使轮,北京,600万人民币,弘励创投,https://www.itjuzi.com/investevents/17841
2016.6.16,大牛家,企业服务,天使轮,上海,600万人民币,泛微,https://www.itjuzi.com/investevents/17840
2016.6.16,Layabox,游戏,A轮,北京,1亿人民币,深创投 金慧丰投资 合力投资,https://www.itjuzi.com/investevents/17839
2016.6.16,Yuki动漫,文化娱乐,Pre-A轮,江苏,数百万人民币,FreesFund峰瑞资本 ONES Ventures,https://www.itjuzi.com/investevents/17836
2016.6.16,餐饮老板内参,文化娱乐,A轮,北京,5000万人民币,美团(新美大) 源码资本 今日头条 千味央厨,https://www.itjuzi.com/investevents/17835
2016.6.16,乐车邦,汽车交通,A+轮,上海,5000万人民币,祥峰投资Vertex,https://www.itjuzi.com/investevents/17831
2016.6.16,番茄田艺术,教育,天使轮,上海,120万人民币,点石微投行,https://www.itjuzi.com/investevents/17824
2016.6.16,贝贝网,电子商务,D轮,浙江,1亿美元,北极光创投 新天域资本 高榕资本Banyan Fund 今日资本,https://www.itjuzi.com/investevents/17788
2016.6.16,疯狂老师,教育,C轮,上海,1.2亿人民币,景林投资 腾讯 元熙资本,https://www.itjuzi.com/investevents/17336
2016.6.15,e代泊-泊友慧,汽车交通,A+轮,上海,数千万人民币,米其林,https://www.itjuzi.com/investevents/17819
2016.6.15,青庐会,社交网络,天使轮,山东,数百万人民币,狮享家新媒体基金,https://www.itjuzi.com/investevents/17817
2016.6.15,Segafredo,本地生活,战略投资,香港,2470万人民币,拉夏贝尔,https://www.itjuzi.com/investevents/17816
2016.6.15,Kaistart开始众筹,金融,B轮,浙江,1亿人民币,昆仑万维 元璟资本 经纬中国 盈动投资(盈开投资) 道生投资 青骢资本 引爆点资本,https://www.itjuzi.com/investevents/17812
2016.6.15,优速快递,物流,A轮,上海,3亿人民币,钟鼎创投 嘉里物流 福建省拓锋投资,https://www.itjuzi.com/investevents/17808
2016.6.15,360安全路由,工具软件,B轮,北京,3亿人民币,投资方未透露,https://www.itjuzi.com/investevents/17807
2016.6.15,趣酷互动传媒,医疗健康,天使轮,广东,500万人民币,投资方未透露,https://www.itjuzi.com/investevents/17803
2016.6.15,慧智微电子Smarter Micro,硬件,C轮,广东,9200万人民币,青云创投 金沙江创投 祥峰投资Vertex,https://www.itjuzi.com/investevents/17800
2016.6.15,分期乐,金融,D轮,广东,2.35亿美元,华晟资本-华兴资本 共建创投,https://www.itjuzi.com/investevents/17798
2016.6.15,爱基因,医疗健康,A轮,福建,数千万人民币,银河投资,https://www.itjuzi.com/investevents/17797
2016.6.15,十方旅行,旅游,Pre-A轮,上海,数百万人民币,ONES Ventures,https://www.itjuzi.com/investevents/17793
2016.6.15,壹父母,教育,天使轮,北京,数百万人民币,头头是道投资基金,https://www.itjuzi.com/investevents/17792
2016.6.14,新瞳科技,文化娱乐,天使轮,北京,100万美元,FreesFund峰瑞资本 Cherubic Ventures心元资本,https://www.itjuzi.com/investevents/18162
2016.6.14,端极网络,工具软件,天使轮,北京,数百万人民币,梅花天使创投 赤子城SOLO,https://www.itjuzi.com/investevents/18143
2016.6.14,植观,本地生活,Pre-A轮,广东,未透露,投资方未透露,https://www.itjuzi.com/investevents/17790
2016.6.14,寻拍网,本地生活,B轮,上海,数千万人民币,明嘉资本 真格基金 新丽传媒,https://www.itjuzi.com/investevents/17787
2016.6.14,行云全球汇,电子商务,Pre-A轮,广东,数千万人民币,一线资本,https://www.itjuzi.com/investevents/17778
2016.6.14,驿氪信息EZR,企业服务,Pre-A轮,上海,1000万人民币,宝洁校友会旗下基金,https://www.itjuzi.com/investevents/17777
2016.6.14,米熊科技,文化娱乐,天使轮,北京,3000万人民币,唐人影视,https://www.itjuzi.com/investevents/17773
2016.6.14,VS Media,文化娱乐,战略投资,香港,未透露,华人文化产业基金,https://www.itjuzi.com/investevents/17771
2016.6.14,马上办公,房产服务,Pre-A轮,上海,数千万人民币,创业接力(创业基金会),https://www.itjuzi.com/investevents/17770
2016.6.14,惠租车,汽车交通,B轮,上海,2亿人民币,北极光创投 汉鼎亚太 Venture Shares,https://www.itjuzi.com/investevents/17767
2016.6.13,麦田广告(麦田无界),广告营销,A轮,北京,2000万人民币,光音网络,https://www.itjuzi.com/investevents/17822
2016.6.13,任意球(体团足球),体育运动,Pre-A轮,北京,1500万人民币,体坛传媒,https://www.itjuzi.com/investevents/17810
2016.6.13,会分期,房产服务,B轮,北京,数千万人民币,京东,https://www.itjuzi.com/investevents/17751
2016.6.13,宝宝听,工具软件,Pre-A轮,北京,1500万人民币,投资方未透露,https://www.itjuzi.com/investevents/17747
2016.6.13,17互助,金融,天使轮,浙江,数千万人民币,经纬中国 晨兴资本 阿米巴资本,https://www.itjuzi.com/investevents/17744
2016.6.13,滴滴出行-滴滴快的,汽车交通,战略投资,北京,6亿美元,中国人寿,https://www.itjuzi.com/investevents/17733
2016.6.13,水岩科技KID机器人,硬件,A轮,北京,数千万人民币,合力投资 信天创投,https://www.itjuzi.com/investevents/17732
2016.6.13,悟空租车-脚印兄弟,汽车交通,A轮,北京,数千万人民币,博将资本 真格基金 紫辉创投 金科君创,https://www.itjuzi.com/investevents/17723
2016.6.12,搭窝,房产服务,天使轮,北京,1000万人民币,启赋资本,https://www.itjuzi.com/investevents/17734
2016.6.12,世和基因,医疗健康,B轮,江苏,6000万人民币,北陆药业 东方创投 东资基金,https://www.itjuzi.com/investevents/17731
2016.6.12,tanni傲妮商贸,电子商务,A轮,北京,2000万人民币,拉夏贝尔,https://www.itjuzi.com/investevents/17725
2016.6.12,卓然影业,文化娱乐,A轮,北京,数千万人民币,华睿投资,https://www.itjuzi.com/investevents/17720
2016.6.12,香蕉计划游戏,游戏,A轮,上海,1.5亿人民币,IDG资本 文资数码投资基金,https://www.itjuzi.com/investevents/17716
